0x0011,0x21e9
0x0012,0x21e7
0x0013,0x21e8
0x0014,0x21e6
0x0015,0x24bd
0x0016,0x24b8
0x0020,0x0020
0x0021,0x0021
0x0022,0x0022
0x0023,0x0023
0x0024,0x0024
0x0025,0x0025
0x0026,0x0026
0x0027,0x0027
0x0028,0x0028
0x0029,0x0029
0x002a,0x002a
0x002b,0x002b
0x002c,0x002c
0x002d,0x002d
0x002e,0x002e
0x002f,0x002f
0x0030,0x0030
0x0031,0x0031
0x0032,0x0032
0x0033,0x0033
0x0034,0x0034
0x0035,0x0035
0x0036,0x0036
0x0037,0x0037
0x0038,0x0038
0x0039,0x0039
0x003a,0x003a
0x003b,0x003b
0x003c,0x003c
0x003d,0x003d
0x003e,0x003e
0x003f,0x003f
0x0040,0x0040
0x0041,0x0041
0x0042,0x0042
0x0043,0x0043
0x0044,0x0044
0x0045,0x0045
0x0046,0x0046
0x0047,0x0047
0x0048,0x0048
0x0049,0x0049
0x004a,0x004a
0x004b,0x004b
0x004c,0x004c
0x004d,0x004d
0x004e,0x004e
0x004f,0x004f
0x0050,0x0050
0x0051,0x0051
0x0052,0x0052
0x0053,0x0053
0x0054,0x0054
0x0055,0x0055
0x0056,0x0056
0x0057,0x0057
0x0058,0x0058
0x0059,0x0059
0x005a,0x005a
0x005b,0x005b
0x005c,0x005c
0x005d,0x005d
0x005e,0x2191
0x005f,0x2190
0x0060,0x672a
0x0061,0x6a2a
0x0062,0x8eca
0x0063,0x4eba
0x0064,0x516b
0x0065,0x5012
0x0066,0x9006
0x0067,0x263b
0x0068,0x263a
0x0069,0x86c7
0x006a,0x885b
0x006b,0x661f
0x006c,0x53cd
0x006d,0x5c04
0x006e,0x96fb
0x006f,0x6c60
0x0070,0x65e5
0x0071,0x6708
0x0072,0x706b
0x0073,0x6c34
0x0074,0x6728
0x0075,0x91d1
0x0076,0x571f
0x0077,0x751f
0x0078,0x5e74
0x0079,0x6642
0x007a,0x5206
0x007b,0x79d2
0x007c,0x5186
0x007d,0xffe5
0x007e,0xffe1
0x007f,0x62bc
0x0080,0x2193
0x0081,0x3002
0x0082,0x300c
0x0083,0x300d
0x0084,0x3001
0x0085,0xff0e
0x0086,0x30f2
0x0087,0x30a1
0x0088,0x30a3
0x0089,0x30a5
0x008a,0x30a7
0x008b,0x30a9
